file,qualified_name,type,name,signature,visibility,line,description,inputs,outputs,side_effects,dependencies,dev_usage,evidence_status,review_status
net.py,net._TarjanSCC.calc_scc,method,calc_scc,(self),public,108,Calculate the strongly connected components (SCC) of the graph.,(self),,,ret.sort; scc_dict.values; self.__gl; self.__low; self.__scc,,auto_generated,pending
net.py,net.RoadNet,class,RoadNet,,public,128,待人工补充,,,,,,auto_generated,pending
net.py,net.RoadNet.__init__,method,__init__,(self),dunder,130,待人工补充,(self),,,self.__edgeL; self.__kdst; self.__kdt; self.__nodeL; self.__scc,,auto_generated,pending
net.py,net.RoadNet.calc_kdsegtree,method,calc_kdsegtree,(self),public,145,Calculate the KDTree of the road network nodes for fast nearest neighbor search.,(self),,,e.getShape; np.array; segs.append; self.__edgeL; self.__kdst,,auto_generated,pending
net.py,net.RoadNet.calc_kdtree,method,calc_kdtree,(self),public,162,Calculate the KDTree of the road network nodes for fast nearest neighbor search.,(self),,,node.get_coord; np.array; self.__kdt; self.__nodeL; self.nodes,,auto_generated,pending
net.py,net.RoadNet.kdtree,method,kdtree,(self) -> KDTree,public,171,待人工补充,(self) -> KDTree,,,self.__kdt; self.calc_kdtree,,auto_generated,pending
net.py,net.RoadNet.sumo,method,sumo,(self),public,178,待人工补充,(self),,,self.__sumo,,auto_generated,pending
net.py,net.RoadNet.is_from_sumo,method,is_from_sumo,(self),public,182,待人工补充,(self),,,self.__sumo,,auto_generated,pending
net.py,net.RoadNet.check_scc_size,method,check_scc_size,"(self, display: bool)",public,185,Check if the size of the largest strongly connected component is large enough,"(self, display: bool)",,,Lang.WARN_SCC_TOO_SMALL; self.nodes; self.scc,,auto_generated,pending
net.py,net.RoadNet.is_node_in_largest_scc,method,is_node_in_largest_scc,"(self, node_id: str) -> bool",public,192,Check if a node is in the largest strongly connected component.,"(self, node_id: str) -> bool",,,self.__scc; self.calc_max_scc,,auto_generated,pending
net.py,net.RoadNet.is_edge_in_largest_scc,method,is_edge_in_largest_scc,"(self, edge_id: str) -> bool",public,200,Check if a edge is in the largest strongly connected component.,"(self, edge_id: str) -> bool",,,self.__scc; self.calc_max_scc,,auto_generated,pending
net.py,net.RoadNet.find_nearest_edge_id,method,find_nearest_edge_id,"(self, x: float, y: float) -> Tuple[float, str]",public,208,Find the nearest edge to the given coordinates in max scc which allows passengers,"(self, x: float, y: float) -> Tuple[float, str]",,,np.array; self.__edgeL; self.__kdst; self.calc_kdsegtree,,auto_generated,pending
net.py,net.RoadNet.find_nearest_node,method,find_nearest_node,"(self, x: float, y: float) -> Node",public,218,Find the nearest node to the given coordinates.,"(self, x: float, y: float) -> Node",,,idx.item; self.__nodeL; self.kdtree,,auto_generated,pending
net.py,net.RoadNet.find_nearest_node_with_distance,method,find_nearest_node_with_distance,"(self, x: float, y: float) -> Tuple[float, Node]",public,225,Find the nearest node to the given coordinates.,"(self, x: float, y: float) -> Tuple[float, Node]",,,dist.item; idx.item; self.__nodeL; self.kdtree,,auto_generated,pending
net.py,net.RoadNet.get_edge_pos,method,get_edge_pos,"(self, edge: str)",public,232,Get the position of the edge in the road network.,"(self, edge: str)",,,e.getShape; self.sumo; sumolib.net,,auto_generated,pending
net.py,net.RoadNet.allows_passengers,method,allows_passengers,"(self, edge_id: str) -> bool",public,248,待人工补充,"(self, edge_id: str) -> bool",,,self.sumo,,auto_generated,pending
net.py,net.RoadNet.calc_max_scc,method,calc_max_scc,(self),public,251,Calculate the largest strongly connected component (SCC) of the road network.,(self),,,e.to_node; edge.from_node; edge.name; edge.to_node; node.name,,auto_generated,pending
net.py,net.RoadNet.scc,method,scc,(self) -> List[SubNet],public,283,待人工补充,(self) -> List[SubNet],,,self.__scc; self.calc_max_scc,,auto_generated,pending
net.py,net.RoadNet.add_node,method,add_node,"(self, node_id: str, x: int, y: int, extras: Optional[Dict[str, str]]) -> Node",public,288,待人工补充,"(self, node_id: str, x: int, y: int, extras: Optional[Dict[str, str]]) -> Node",,,self.__kdt; self.__scc; self.nodes,,auto_generated,pending
net.py,net.RoadNet.get_node,method,get_node,"(self, node_id: str) -> Node",public,297,待人工补充,"(self, node_id: str) -> Node",,,self.nodes,,auto_generated,pending
net.py,net.RoadNet.rename_node,method,rename_node,"(self, old_id: str, new_id: str)",public,300,待人工补充,"(self, old_id: str, new_id: str)",,,Lang.NODE_EXISTS; edge.from_node; edge.to_node; node.incoming_edges; node.name,,auto_generated,pending
net.py,net.RoadNet.remove_node,method,remove_node,"(self, node_id: str)",public,311,待人工补充,"(self, node_id: str)",,,Lang.NODE_NOT_FOUND; edge.from_node; edge.to_node; self.__kdt; self.__scc,,auto_generated,pending
net.py,net.RoadNet.update_node,method,update_node,"(self, old_node_id: str, new_node_id: str)",public,323,待人工补充,"(self, old_node_id: str, new_node_id: str)",,,Lang.NODE_EXISTS; Lang.NODE_NOT_FOUND; node.name; self.nodes,,auto_generated,pending
net.py,net.RoadNet.node_ids,method,node_ids,(self),public,333,待人工补充,(self),,,self.nodes,,auto_generated,pending
net.py,net.RoadNet.node_count,method,node_count,(self),public,337,待人工补充,(self),,,self.nodes,,auto_generated,pending
net.py,net.RoadNet.add_edge,method,add_edge,"(self, edge_id: str, from_node: Union[str, Node], to_node: Union[str, Node], length_m: float, lanes: int, speed_limit: float, world_id: int, nickname: Optional[str]) -> Edge",public,340,待人工补充,"(self, edge_id: str, from_node: Union[str, Node], to_node: Union[str, Node], length_m: float, lanes: int, speed_limit: float, world_id: int, nickname: Optional[str]) -> Edge",,,Lang.EDGE_EXISTS; from_node.outgoing_edges; self.__scc; self.edges; self.get_node,,auto_generated,pending
net.py,net.RoadNet.get_edge,method,get_edge,"(self, edge_id: str) -> Edge",public,353,待人工补充,"(self, edge_id: str) -> Edge",,,self.edges,,auto_generated,pending
net.py,net.RoadNet.rename_edge,method,rename_edge,"(self, old_id: str, new_id: str)",public,356,待人工补充,"(self, old_id: str, new_id: str)",,,Lang.EDGE_EXISTS; edge.name; self.edges,,auto_generated,pending
net.py,net.RoadNet.remove_edge,method,remove_edge,"(self, edge_id: str)",public,363,待人工补充,"(self, edge_id: str)",,,Lang.EDGE_NOT_FOUND; self.__scc; self.edges,,auto_generated,pending
net.py,net.RoadNet.update_edge,method,update_edge,"(self, edge_id: str, new_from_node_id: str, new_to_node_id: str)",public,369,待人工补充,"(self, edge_id: str, new_from_node_id: str, new_to_node_id: str)",,,Lang.EDGE_NOT_FOUND; Lang.NODE_NOT_FOUND; e.from_node; e.to_node; new_from_node.outgoing_edges,,auto_generated,pending
net.py,net.RoadNet.get_offset_shape,method,get_offset_shape,"(self, edge_id: str)",public,388,待人工补充,"(self, edge_id: str)",,,e.from_node; e.to_node; math.hypot; self.getBoundary; self.get_edge,,auto_generated,pending
net.py,net.RoadNet.edge_ids,method,edge_ids,(self),public,418,待人工补充,(self),,,self.edges,,auto_generated,pending
net.py,net.RoadNet.edge_count,method,edge_count,(self),public,422,待人工补充,(self),,,self.edges,,auto_generated,pending
net.py,net.RoadNet.load_raw,method,load_raw,(fname: str),public,426,待人工补充,(fname: str),,,edge.attrib; location.attrib; node.attrib; ret.add_edge; ret.add_node,,auto_generated,pending
net.py,net.RoadNet.load_sumo,method,load_sumo,"(fname: str, only_passenger: bool)",public,459,待人工补充,"(fname: str, only_passenger: bool)",,,Lang.INVALID_SUMO_NETWORK; edge.allows; edge.getFromNode; edge.getID; edge.getLaneNumber,,auto_generated,pending
net.py,net.RoadNet.load,method,load,"(fname: str, fmt: str)",public,493,待人工补充,"(fname: str, fmt: str)",,,Lang.UNKNOWN_NET_FORMAT; RoadNet.load_raw; RoadNet.load_sumo,,auto_generated,pending
net.py,net.RoadNet.save,method,save,"(self, fname: str)",public,506,待人工补充,"(self, fname: str)",,,RoadNet.VERSION; e.set; edge.from_node; edge.lanes; edge.length,,auto_generated,pending
net.py,net.RoadNet.create_world,method,create_world,"(self, **kwargs)",public,539,待人工补充,"(self, **kwargs)",,,Lang.GIL_NOT_DISABLED; edge.world_id; kwargs.pop; self.create_paraworlds; self.create_singleworld,,auto_generated,pending
net.py,net.RoadNet.get_gl,method,get_gl,"(self) -> Dict[str, List[Tuple[str, Edge]]]",public,552,待人工补充,"(self) -> Dict[str, List[Tuple[str, Edge]]]",,,edge.from_node; edge.to_node; self.edges; self.nodes,,auto_generated,pending
net.py,net.RoadNet.create_singleworld,method,create_singleworld,"(self, **kwargs)",public,560,待人工补充,"(self, **kwargs)",,,edge.from_node; edge.lanes; edge.length; edge.name; edge.speed_limit,,auto_generated,pending
net.py,net.RoadNet.create_paraworlds,method,create_paraworlds,"(self, **kwargs)",public,584,待人工补充,"(self, **kwargs)",,,W.NODES_NAME_DICT; W.addLink; W.addNode; edge.from_node; edge.lanes,,auto_generated,pending
net.py,net.RoadNet.hasGeoProj,method,hasGeoProj,(self),public,621,待人工补充,(self),,,self.projParameter,,auto_generated,pending
net.py,net.RoadNet.getGeoProj,method,getGeoProj,(self),public,624,待人工补充,(self),,,Lang.NO_GEO_PROJ; self.getGeoProjOrNone,,auto_generated,pending
net.py,net.RoadNet.getGeoProjOrNone,method,getGeoProjOrNone,(self),public,630,待人工补充,(self),,,pyproj.Proj; pyproj.datadir; self._proj; self.hasGeoProj; self.projParameter,,auto_generated,pending
net.py,net.RoadNet.getProjectorOrNone,method,getProjectorOrNone,(self),public,643,待人工补充,(self),,,self.hasGeoProj; self.netOffset; self.projParameter,,auto_generated,pending
